Setting up Perceptual loss...
Loading model from: /home/mehmetturan/virasoft_projects/gaugan/segmentation/fat_pytorch_lit/FastGAN-pytorch/lpips/weights/v0.1/vgg.pth
...[net-lin [vgg]] initialized
...Done
Namespace(path='../fat_data/fat_detection/ann_dir/train/', cuda=0, name='test1', iter=100000, start_iter=0, batch_size=8, im_size=512, ckpt='None')
GAN: loss d: 7.99964    loss g: -3.34063
GAN: loss d: 7.70748    loss g: -3.43110
GAN: loss d: 9.59670    loss g: -3.06601
GAN: loss d: 9.71744    loss g: -4.02190
GAN: loss d: 8.46068    loss g: -3.43744
GAN: loss d: 8.58976    loss g: -3.53475
GAN: loss d: 9.04206    loss g: -3.48786
GAN: loss d: 8.63533    loss g: -3.29276
GAN: loss d: 9.51365    loss g: -3.27281
GAN: loss d: 9.44467    loss g: -3.29690
GAN: loss d: 9.66236    loss g: -3.52772
GAN: loss d: 9.63809    loss g: -3.43896
GAN: loss d: 9.66787    loss g: -3.33696
GAN: loss d: 9.07004    loss g: -3.43471
GAN: loss d: 9.80650    loss g: -3.32308
GAN: loss d: 9.59752    loss g: -3.62877
GAN: loss d: 9.23692    loss g: -3.34353
GAN: loss d: 9.19690    loss g: -4.24233
GAN: loss d: 8.41449    loss g: -4.18208
GAN: loss d: 8.26491    loss g: -4.15301
GAN: loss d: 8.29857    loss g: -4.33077
GAN: loss d: 7.61256    loss g: -4.78125
GAN: loss d: 7.59514    loss g: -5.10242
GAN: loss d: 9.22877    loss g: -4.59446
GAN: loss d: 9.64048    loss g: -4.49713
GAN: loss d: 9.34163    loss g: -4.73882
GAN: loss d: 9.32394    loss g: -4.62767
GAN: loss d: 8.84163    loss g: -4.14775
GAN: loss d: 9.47515    loss g: -4.01080
GAN: loss d: 8.37244    loss g: -4.44543
GAN: loss d: 8.57738    loss g: -4.25698
GAN: loss d: 8.99786    loss g: -4.72441
GAN: loss d: 8.63232    loss g: -4.89347
GAN: loss d: 8.48566    loss g: -4.86632
GAN: loss d: 8.77193    loss g: -3.00260
GAN: loss d: 7.67229    loss g: -4.94443
GAN: loss d: 9.17093    loss g: -4.42459
GAN: loss d: 8.59852    loss g: -3.91087
GAN: loss d: 8.25498    loss g: -4.49072
GAN: loss d: 7.25910    loss g: -4.18203
GAN: loss d: 8.84865    loss g: -4.62587
GAN: loss d: 8.14093    loss g: -4.96026
GAN: loss d: 8.70220    loss g: -4.51153
GAN: loss d: 8.99803    loss g: -4.87819
GAN: loss d: 8.29122    loss g: -4.35912
GAN: loss d: 8.43148    loss g: -4.13528
GAN: loss d: 8.08795    loss g: -4.66708
GAN: loss d: 8.00232    loss g: -4.78389
GAN: loss d: 8.10208    loss g: -4.61215
GAN: loss d: 7.74215    loss g: -4.48574
GAN: loss d: 7.36181    loss g: -4.10911
GAN: loss d: 7.51041    loss g: -4.29547
GAN: loss d: 8.27036    loss g: -4.29659
GAN: loss d: 8.43856    loss g: -3.88632
GAN: loss d: 7.13508    loss g: -4.13960
GAN: loss d: 7.02169    loss g: -3.80944
GAN: loss d: 7.36212    loss g: -3.94863
GAN: loss d: 6.91604    loss g: -3.84649
GAN: loss d: 6.95899    loss g: -4.16889
GAN: loss d: 6.87642    loss g: -4.01448
GAN: loss d: 8.60680    loss g: -3.79915
GAN: loss d: 8.60314    loss g: -3.82794
GAN: loss d: 8.44757    loss g: -3.64970
GAN: loss d: 8.50589    loss g: -3.41661
GAN: loss d: 7.04875    loss g: -2.79861
GAN: loss d: 9.03848    loss g: -3.34277
GAN: loss d: 8.11704    loss g: -3.20399
GAN: loss d: 9.64716    loss g: -3.26762
GAN: loss d: 8.44576    loss g: -3.59724
GAN: loss d: 8.84976    loss g: -3.55487
GAN: loss d: 8.25228    loss g: -3.46533
GAN: loss d: 9.37154    loss g: -3.69903
GAN: loss d: 9.26174    loss g: -3.31661
GAN: loss d: 9.41409    loss g: -3.10747
GAN: loss d: 9.06435    loss g: -3.87465
GAN: loss d: 9.10962    loss g: -4.14495
GAN: loss d: 9.15060    loss g: -3.43736
GAN: loss d: 9.45313    loss g: -3.29691
GAN: loss d: 9.22896    loss g: -3.31328
GAN: loss d: 8.54282    loss g: -3.63485
GAN: loss d: 8.46184    loss g: -3.44424
GAN: loss d: 8.60331    loss g: -3.49673
GAN: loss d: 9.17559    loss g: -3.18571
GAN: loss d: 8.24725    loss g: -3.41760
GAN: loss d: 8.79424    loss g: -3.41514
GAN: loss d: 9.50049    loss g: -3.47847
